Flat profile:

Each sample counts as 0.01 seconds.
 no time accumulated

  %   cumulative   self              self     total           
 time   seconds   seconds    calls  Ts/call  Ts/call  name    
  0.00      0.00     0.00      494     0.00     0.00  __gnu_cxx::__normal_iterator<Event*, std::vector<Event, std::allocator<Event> > >::operator*() const
  0.00      0.00     0.00      294     0.00     0.00  __gnu_cxx::__normal_iterator<long long*, std::vector<long long, std::allocator<long long> > >::base() const
  0.00      0.00     0.00      250     0.00     0.00  __gnu_cxx::__normal_iterator<long long*, std::vector<long long, std::allocator<long long> > >::operator*() const
  0.00      0.00     0.00      184     0.00     0.00  std::remove_reference<Event&>::type&& std::move<Event&>(Event&)
  0.00      0.00     0.00      164     0.00     0.00  __gnu_cxx::__normal_iterator<long long*, std::vector<long long, std::allocator<long long> > >::__normal_iterator(long long* const&)
  0.00      0.00     0.00      154     0.00     0.00  Event::operator<(Event const&) const
  0.00      0.00     0.00      144     0.00     0.00  __gnu_cxx::__normal_iterator<Event*, std::vector<Event, std::allocator<Event> > >::base() const
  0.00      0.00     0.00      126     0.00     0.00  __gnu_cxx::__normal_iterator<Event*, std::vector<Event, std::allocator<Event> > >::operator--()
  0.00      0.00     0.00      126     0.00     0.00  bool __gnu_cxx::__ops::_Val_less_iter::operator()<Event, __gnu_cxx::__normal_iterator<Event*, std::vector<Event, std::allocator<Event> > > >(Event&, __gnu_cxx::__normal_iterator<Event*, std::vector<Event, std::allocator<Event> > >) const
  0.00      0.00     0.00      114     0.00     0.00  __gnu_cxx::__normal_iterator<long long*, std::vector<long long, std::allocator<long long> > >::operator+=(long)
  0.00      0.00     0.00      114     0.00     0.00  bool __gnu_cxx::__ops::_Iter_less_val::operator()<__gnu_cxx::__normal_iterator<long long*, std::vector<long long, std::allocator<long long> > >, long long const>(__gnu_cxx::__normal_iterator<long long*, std::vector<long long, std::allocator<long long> > >, long long const&) const
  0.00      0.00     0.00      114     0.00     0.00  void std::__advance<__gnu_cxx::__normal_iterator<long long*, std::vector<long long, std::allocator<long long> > >, long>(__gnu_cxx::__normal_iterator<long long*, std::vector<long long, std::allocator<long long> > >&, long, std::random_access_iterator_tag)
  0.00      0.00     0.00      100     0.00     0.00  __gnu_cxx::__normal_iterator<long long*, std::vector<long long, std::allocator<long long> > >::difference_type __gnu_cxx::operator-<long long*, std::vector<long long, std::allocator<long long> > >(__gnu_cxx::__normal_iterator<long long*, std::vector<long long, std::allocator<long long> > > const&, __gnu_cxx::__normal_iterator<long long*, std::vector<long long, std::allocator<long long> > > const&)
  0.00      0.00     0.00       98     0.00     0.00  std::vector<long long, std::allocator<long long> >::begin()
  0.00      0.00     0.00       90     0.00     0.00  Event&& std::forward<Event>(std::remove_reference<Event>::type&)
  0.00      0.00     0.00       70     0.00     0.00  __gnu_cxx::__normal_iterator<Event*, std::vector<Event, std::allocator<Event> > >::__normal_iterator(Event* const&)
  0.00      0.00     0.00       68     0.00     0.00  __gnu_cxx::__normal_iterator<long long*, std::vector<long long, std::allocator<long long> > >::operator++()
  0.00      0.00     0.00       64     0.00     0.00  bool __gnu_cxx::operator!=<Event*, std::vector<Event, std::allocator<Event> > >(__gnu_cxx::__normal_iterator<Event*, std::vector<Event, std::allocator<Event> > > const&, __gnu_cxx::__normal_iterator<Event*, std::vector<Event, std::allocator<Event> > > const&)
